MENU_TYPE,RESTAURANT_NAME_KOREAN,ADDRESS_KOREAN,MENU_NAME,NATIONAL_PHONE_NUMBER,DISTRICT_NAME,LATITUDE,LONGITUDE,RESTAURANT_NAME_ENGLISH,ADDRESS_ENGLISH,OPENING_HOURS,RATING,RATING_COUNT,PRICE_LEVEL,TAKEOUT_YN,RESERVABLE,BREAKFAST_YN,LUNCH_YN,DINNER_YN,BEER_YN,OUTDOOR_SEAT_YN,MENU_FOR_CHILDREN_YN,RESTROOM_YN,PARKING_LOT_YN,PAYMENT_OPTIONS,REVIEW
한식,청담,부산광역시 연제구 연안로 1 (연산동),정식,051-761-0002,연제구,35.188,129.107,Chungdam 청담,"2nd Floor, Global Foyer Mall, FS04-09, Golf Course Rd, Sector 43, Gurugram, Haryana 122002, India","Monday: 11:30AM–3:00PM, 5:00–11:00PM
Tuesday: 11:30AM–3:00PM, 5:00–11:00PM
Wednesday: 11:30AM–3:00PM, 5:00–11:00PM
Thursday: 11:30AM–3:00PM, 5:00–11:00PM
Friday: 11:30AM–3:00PM, 5:00–11:00PM
Saturday: 11:30AM–11:00PM
Sunday: 11:30AM–11:00PM",4.7,122.0,,True,True,,True,True,,False,,True,,"acceptsCreditCards, acceptsDebitCards, acceptsNfc","Chungdam is a Korean restaurant that offers a delicious and authentic dining experience. The ambiance is upscale and inviting, making it a great place for a special occasion or a casual night out.
One of their must-try dishes is the prawn tempura. The prawns are perfectly cooked and the tempura batter is light and crispy. They also have a wide variety of other Korean dishes to choose from, so there's something for everyone on the menu.
Overall, Chungdam is a great restaurant that I highly recommend.
A very nice experience here. For me it was the first time eating Kbbq so certainly a unique and fun experience. I enjoyed the meats they had as well as all the delicious spicy sauces too. I would recommend the grill for anyone who goes there as well as the octopus! Great food. Will certainly return in the future. The only disappointment is the mall itself where it’s located. Other than that great time.
Nested deep inside the mall, chungdam is a little difficult to find but a treat for your palate. The seafood soup was beyond amazing, with handmade noodles and all sorts of seafood in it. They served delicious sides with the soup. Place serves soju as well so a perfect date spot.
Looking for a good Korean place in Gurgaon with that authentic vibe, this is the perfect place. Good location, great food and very friendly staff. Do visit this place!!
Chungdam @ Global Foyer Mall at Golf Course Gurgaon is one of the top Korean restaurants in Gurgaon. Their portions are good and their Bibimbap is one of the most loved items in my family. They have private rooms dining experience at their restaurant.
"
뷔페식,주식회사 더파티 더파티 시청점,"부산광역시 연제구 중앙대로 1000 (연산동,국민연금빌딩 2층)",뷔페,051-668-7373,연제구,35.178,129.076,The,"1000 Jungang-daero, Yeonje-gu, Busan, South Korea","Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: 12:00–9:30PM
Sunday: 11:30AM–8:30PM",3.4,546.0,PRICE_LEVEL_EXPENSIVE,False,True,False,True,True,True,False,True,True,,acceptsCreditCards,"I was invited there for UNz Supporters program closing ceremony. There were plenty of food options for all varieties of food lovers. From meat lovers to vegetarian to muslim to.. enjoy their food! the atmosphere was nice and the place was great!
A big disappointing experience.  I visited The Party branch at Haeundae a few years ago & that was one of the best buffet I ever had in Korea.  So this time I brought my family to this The Party city hall branch thinking that the quality would be the same.  All beef dishes are dry & tough, steak super chewy, seafoods are simple with dry sushi and some warm foods are just left cold.  Dessert has good variety though.
Table and setting is so so but Foods are ok
Soso.. verity of foods. but taste is....
good
"
중국식,일품향,부산광역시 연제구 법원북로3번길 7 (거제동),중식,051-507-7762,연제구,35.194,129.067,Ilpumhyang,"17 Daeyeong-ro 247beon-gil, Dong-gu, Busan, South Korea","Monday: Closed
Tuesday: 11:00AM–3:00PM, 5:00–8:00PM
Wednesday: 11:00AM–3:00PM, 5:00–8:00PM
Thursday: 11:00AM–3:00PM, 5:00–8:00PM
Friday: 11:00AM–3:00PM, 5:00–8:00PM
Saturday: 11:00AM–8:00PM
Sunday: 11:00AM–8:00PM",4.3,675.0,PRICE_LEVEL_MODERATE,True,True,False,True,True,True,False,False,True,,acceptsCreditCards,"Hospitable staff who offered the soup with egg and 2nd servings of the cucumber dish. Enjoyed the steamed and fried dumplings. Good food. Long queue outside so have to leave as soon as we were done 😅
Delicious lamb meat skewers, also eggplant stuffed with meat, battered, and deep fried was delicious. Great service and very friendly owners. When you're there, you feel a friendly vibe like your home
Delicious food and friendly staff! Definitely try the steamed and fried dumplings here!
5th of February, chinese new year and almost all restaurants in Korea are closed. Except this one in Little China. I live in Shanghai so i decided to go there to eat! And to compare as well.
I ordered fried dumplings 🥟 (7000 Won) and boiled dumplings 🥟 (7000 wons). Some sides were provided (radish, kimchi, cucumber). The fried dumplings with the soy sauce and garlic were delicious. Amazing taste between crispy, sweet and the power of the garlic. I loved this fried dumplings. The boiled dumplings were not really bad but no taste, it was flat. Fortunately, i had the sauce. The boss speaks a little bit English and one menu is in english (no pictures). Definitely recommend the fried dumplings.
Good taste of local Chinese food and drinks. Friendly staffs. Recommendable.
"
복어취급,윤태금 복국,"부산광역시 연제구 월드컵대로145번길 29 (연산동,(덕산프라자 2층))",복국,051-866-5295,연제구,35.185,129.08,,"South Korea, Busan, Yeonje-gu, 연산제5동 1287-13 2층","Monday: 9:30AM–9:30PM
Tuesday: 9:30AM–9:30PM
Wednesday: 9:30AM–9:30PM
Thursday: 9:30AM–9:30PM
Friday: 9:30AM–9:30PM
Saturday: 9:00AM–9:00PM
Sunday: 9:00AM–9:00PM",4.2,202.0,,,True,,True,True,True,False,False,True,,acceptsCreditCards,"Good
A puffer fish restaurant perfect for gatherings with clean, delicious puffer fish dishes and friendly service. If you use the nearby Semyeong parking lot, 2 hours of free parking is provided.
I go there occasionally, but every time I go, I feel like I made a good choice. The food was delicious and the owner even stopped by to say hello, which made me feel very happy.
It's good for a small group meal for the Eunbok course.
Food is clean
The owner and the servers are friendly.
Dinner with an acquaintance~ This place is usually so crowded that there are no seats, but due to the coronavirus situation, there were only two tables of customers, our table and one other table~ The rest of the tables were empty~ Since it was the professor's regular restaurant, we had a service dish (fried belly fish),
Dessert (sweet persimmon, sujeonggwa) ~ The friendliness is the best ~ The taste is the best ~
"
탕류(보신용),유정뼈다구해장국,부산광역시 연제구 고분로 184 (연산동),해장국,051-759-2588,연제구,35.185,129.102,,"Busan, South Korea","Monday: 10:00AM–10:00PM
Tuesday: 10:00AM–10:00PM
Wednesday: 11:00AM–11:00PM
Thursday: 11:00AM–11:00PM
Friday: 11:00AM–11:00PM
Saturday: 10:00AM–10:00PM
Sunday: 11:00AM–11:00PM",4.3,53.0,,True,True,True,True,True,True,False,,True,,acceptsCreditCards,"So delicious
The aunts were so kind and the food was so delicious.
There is no particular parking lot, but you can park two cars in front of the store.
The soup is very steamy and the meat is plentiful and soft.

It was also the best value for money.
I went to the main branch thinking it would be a good restaurant worthy of a chain branch, but it wasn't as good as I thought.
1. Insufficient bone mass. At least 3 to 4 pieces is standard, but 2 pieces...ㅇㅇ..
2. The amount of rice was not enough. Let's do it in moderation...
3. The amount of soup is not enough.
4. The taste is so-so...?
There is parking space in front of the building for at most two cars. Just an ordinary house.

★★★☆☆: No intention of revisiting, just so-so
★★★★☆: A house that is overall good but lacks cost-effectiveness, lacks service, or leaves something to be desired.
★★★★★: There is nothing to criticize, this is the house you want to go to if someone from out of town comes to visit.
I had steamed seafood backbone.

It was a sweet and spicy seasoning that seemed to be made of starch and red pepper powder.

Both seafood and bones were delicious. The bean sprouts were also okay.

There were many other meal menus, so it seemed like they put a lot of effort into the side dishes and they were quite delicious.

The soup looked like gamjatang soup on the outside, but it had a lot of cinnamon flavor and was just okay.

The rice had a bit of black rice mixed in, but I was a bit disappointed that only two-thirds of it was in the air.

Overall, in terms of taste, it's excellent, so 5 stars.

It said there was a discount for student taxi drivers.

They said you could park on the public road next to the store during meal times, but I did because there was an empty parking lot in the back.
This restaurant only uses the backbone, which is a by-product of the pork that is slaughtered on the same day. Since I deliver it, I guarantee the taste and sincerity.
"
회집,원조메기탕,부산광역시 연제구 거제시장로 15 (거제동),메기탕,051-852-8085,연제구,35.181,129.072,,,,,,,,,,,,,,,,,,
탕류(보신용),우미장꼬리곰탕,부산광역시 연제구 법원로32번길 18 (거제동),곰탕,051-501-2208,연제구,35.191,129.075,,"577 Sasang-ro, Buk-gu, Busan, South Korea","Monday: 10:00AM–8:30PM
Tuesday: 10:00AM–8:30PM
Wednesday: 10:00AM–8:30PM
Thursday: 10:00AM–8:30PM
Friday: 10:00AM–8:30PM
Saturday: 10:00AM–8:30PM
Sunday: Closed",3.8,385.0,PRICE_LEVEL_EXPENSIVE,True,True,,True,True,True,False,False,True,freeParkingLot,acceptsCreditCards,"My friend bring here quite nice
Love this ox tail soup!  Amazing!
OK
good
Prices are rising little by little compared to the past, but kimchi, radish radish kimchi, and chive geotjeori are delicious and have a deep flavor. There is a large parking lot.
"
한식,요풍각,부산광역시 연제구 시청로32번길 29 (연산동),정식,051-504-3658,연제구,35.183,129.075,,,,,,,,,,,,,,,,,,
한식,옛골토성연산점,부산광역시 연제구 월드컵대로 179 (거제동),"오리바베큐,삼겹",051-864-9797,연제구,35.187,129.077,,"South Korea, Busan, Yeonje-gu, 거제제3동 34-34","Monday: 11:30AM–9:30PM
Tuesday: 11:30AM–9:30PM
Wednesday: 11:30AM–9:30PM
Thursday: 11:30AM–9:30PM
Friday: 11:30AM–9:30PM
Saturday: 11:30AM–9:30PM
Sunday: 11:30AM–9:30PM",3.8,317.0,PRICE_LEVEL_MODERATE,,True,False,True,True,True,False,,True,"freeParkingLot, valetParking, freeGarageParking","acceptsCreditCards, acceptsDebitCards","Great food, friendly staff, and air conditioning.
Good
Not good value for money
After eating the 24,000 Won Bobae Table, everyone said it was expensive.
Parking available
Since the rice is polished on the same day and then cooked using a pressure cooker with different grades of rice, the bapbat is chewy, sticky, and savory.
The main side dish menu is decent enough to eat. Reservation is required during peak hours.
The price is reasonable, the taste is good, and the side dishes are all delicious. The price of meat was also cheap.
But the space between tables is very narrow. It's just as bad if both are sitting. I wish there was a little more space to pass by.
And it's really, really loud. It's completely market-related. It seems like a lot of guys come and talk too loudly. It's hard to hear the voices of people sitting at the same table.
The staff are friendly, but because there are a lot of customers, there are times when the requested items are not delivered and are often delivered very late. It's easier to say it several times or just take it to the kitchen.
"
식육(숯불구이),참숯고을,부산광역시 연제구 신촌로23번길 24 (연산동),소갈비,051-851-6925,연제구,35.182,129.075,,"24 Sinchon-ro 23beon-gil, Yeonje-gu, Busan, South Korea","Monday: 11:30AM–10:30PM
Tuesday: 11:30AM–10:30PM
Wednesday: 11:30AM–10:30PM
Thursday: 11:30AM–10:30PM
Friday: 11:30AM–10:30PM
Saturday: 11:30AM–10:30PM
Sunday: 11:30AM–10:30PM",4.3,85.0,,,True,False,True,True,True,False,False,True,,acceptsCreditCards,"Although there aren't many special sides or anything else special, I thought it was a meat restaurant that competed only on the quality of the meat, so I visited it several times.
The store is somewhat old and shabby? It has it, but if you look at the inside, it's not that bad.

Raw ribs are delicious.
It may be a personal taste.
It's just not friendly.
The owner is friendly and the meat is delicious.
The meat is really good. The side dishes are good, so you'll be very satisfied if you eat it for lunch. The owner and staff are also very friendly. I want to go often, but there are a lot of people.
A representative restaurant near Busan City Hall.
It is good value for money and is good to go when you want to eat home-cooked food.
Meat and hotpot are the main menu items, but you can also order regular set meals and there are a lot of side dishes, so I visit this place occasionally.
They didn't provide kimchi, so if you ask for kimchi separately, they give it to you.
This is a Beomhan Beef and Pork restaurant in front of City Hall. The room is good and the service is good. I highly recommend Chamcharcoal.
"
기타,영덕대게시청점,부산광역시 연제구 거제천로 101-1 (거제동),대게,051-863-3572,연제구,35.183,129.074,,"101-1 Geojecheon-ro, 거제제3동 Yeonje-gu, Busan, South Korea","Monday: 12:00–10:00PM
Tuesday: 12:00–10:00PM
Wednesday: 12:00–10:00PM
Thursday: 12:00–10:00PM
Friday: 12:00–10:00PM
Saturday: 12:00–10:00PM
Sunday: 12:00–10:00PM",3.6,25.0,,,True,,,True,True,False,False,True,,acceptsCreditCards,"I went two days in a row. I almost cried when Arirang came out.
The lights sparkling to the song are so pretty~
You can eat fresh snow crab in the city. Today it costs 90,000 won per person.
Snow crab and lobster are cheap and fresh. They cost around 70,000 won. I would recommend them.
It's been a few years since I stopped by, but I was disappointed that the food served wasn't as good as before.
You can enjoy snow crab in the city center without going to the beach~
"
일식,어가초밥연산점,부산광역시 연제구 월드컵대로 152 (연산동),회초밥,051-868-0884,연제구,35.187,129.08,,"95 World cup-daero, Yeonje-gu, Busan, South Korea",,3.8,17.0,,True,True,,True,True,True,,,True,,acceptsCreditCards,"I had a great time eating sushi with my family.
I hope wasabi is not added to salmon sushi so that children can eat it too.
Well, first of all, the grains of rice are okay, the variety is average, and the freshness is okay, but the rice vinegar is a bit sour, so I get sick of it before I eat about 10 plates.
I've been to at least 50 conveyor belt sushi restaurants across the country and ate more than 20 plates in total, but this was the first time I ate 13 plates.
I wish they re-seasoned the candle water.
I visited Yeonsan-dong because it had good reviews, and compared to xx Tour, which is a popular conveyor belt sushi restaurant in Busan these days, the menu was small, but each menu tasted better.

I liked that the seasoning and sauce taste was not as strong as the usual conveyor belt sushi restaurants, and the soup was mild for my taste, but those who like strong flavors may like it or not.

I ordered udon and buckwheat noodles because they were on the recommended menu at the store. The broth was seasoned just right and the quantity was great for the price.

2,500 won per plate, a decent enough place for conveyor belt sushi.
(5 plates of sushi, udon, soup, salad 12,900 won. For a weekday lunch special, this seems to be a very cost-effective restaurant)
Sushi restaurant^^
Nagasaki Jjamppong as a side menu is also great^^
It was nice that the noodles weren't udon noodles so they didn't swell while eating.
It's a sushi restaurant close to my house and the prices aren't expensive, but the sushi rice is so soft that it falls apart when you pick it up with chopsticks.
The taste is pretty good.
"
한식,양말례 남원추어탕,"부산광역시 연제구 중앙대로1043번길 50 (연산동,목림레포츠 B/D 1층)",추어탕,051-868-9279,연제구,35.182,129.075,,,,,,,,,,,,,,,,,,
일식,아키야마초밥,부산광역시 연제구 월드컵대로145번길 6 (연산동),모듬회,051-868-6133,연제구,35.186,129.08,,"6 World cup-daero 145beon-gil, Yeonje-gu, Busan, South Korea",,3.8,287.0,PRICE_LEVEL_MODERATE,,,,True,,,,,,,,"Offered good condition and various kind of sea food suitable for family because of the independent room. Nice atmosphere. Highly recommended.
Soso
Mild cheap
Moderate guality
As it is a Japanese course meal, it is nice to be able to taste a variety of dishes at once. I am also very satisfied with the friendly service and response from the staff! It was a place where you could feel the authentic taste of an old restaurant in every single piece of raw fish. There are also many spacious spaces for group gatherings. Since it was a private room, I was able to eat properly in a private space!👍
There is a parking lot and a manager, so parking is convenient and the location is also good.
I had a 60,000 won course, and since it was Japanese food, it couldn't have been more delicious.
I intend to visit again~
It's a weekend evening, so it's a more expensive place than average.
I ate everything and it was delicious. The parking space right in front of the store is small. There is also a parking lot nearby. The lobster soup served as the last course is the delicacy of this restaurant.
"
한식,시루향기 콩나물국밥,부산광역시 연제구 중앙대로 1053 (연산동),콩나물국밥,051-866-7664,연제구,35.182,129.078,,"480-5 Gung-dong, Yuseong District, Daejeon, South Korea","Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",4.0,370.0,PRICE_LEVEL_MODERATE,True,True,True,True,True,True,False,,True,,acceptsCreditCards,"🥗
Gooooooood!
Clean and refreshing bean sprout soup. Siruhyanggi Yuseong Branch is an old house, so I like it because the taste doesn’t change even if I visit it occasionally.
It's very filling as a hangover or as a meal.
Regular bean sprout soup costs 8,000 won. It comes in mild/normal/spicy flavors! The warmed soup is served in a cooling(?) bowl rather than an earthenware pot, so even those who are not good at eating hot soup can enjoy it! Cauldron rice is also really delicious.
I ate separate soup (bean sprout soup + pot rice)!
I think the side dishes that came with it are delicious and good for hangovers 🤔

I intend to visit again 😋👍
"
한식,서울깍두기,"부산광역시 연제구 안연로 18, 1,2층 (연산동)",설렁탕,051-752-7818,연제구,35.189,129.101,,"Seoul, South Korea","Monday: 10:00AM–10:00PM
Tuesday: 10:00AM–10:00PM
Wednesday: 10:00AM–10:00PM
Thursday: 10:00AM–10:00PM
Friday: 10:00AM–10:00PM
Saturday: 10:00AM–10:00PM
Sunday: 10:00AM–10:00PM",4.1,101.0,,True,True,True,True,True,True,False,False,True,,acceptsCreditCards,"Fast service n their kimchee/radish combo is delicious!
Good
Pork belly is delicious.
3 people ate for 6 people.
The boss has made up his mind.
Additional side dish refills are also available.
A place with great radish kimchi and a delicious chef.
Proper seolleongtang. The soup is so clean. It’s like a good restaurant in Yeouido~^^
"
일식,산청한방삼계탕,부산광역시 연제구 법원남로15번길 12 (거제동),삼계탕,051-507-1183,연제구,35.19,129.074,,,,,,,,,,,,,,,,,,
한식,부산깍두기,부산광역시 연제구 안연로28번길 3 (연산동),설렁탕,051-754-9280,연제구,35.19,129.1,,"11-1 Bumin-dong 1(il)-ga, Seo-gu, Busan, South Korea","Monday: 9:00AM–10:00PM
Tuesday: 9:00AM–10:00PM
Wednesday: 9:00AM–10:00PM
Thursday: 9:00AM–10:00PM
Friday: 9:00AM–10:00PM
Saturday: 9:00AM–8:00PM
Sunday: Closed",3.8,10.0,,,True,,True,True,True,False,False,True,,acceptsCreditCards,"It was a bit expensive, but I enjoyed it!
This is a Busan kkakdugi seolleongtang restaurant that only uses Korean beef bone bones.
It's easily accessible. It's clean since it was recently renovated, and it's nice because you can eat as much as you want, such as onions or peppers.
It also comes with two pieces of cotton sari and there is no unpleasant smell, which is nice.
Of course, kkakdugi must be delicious.
It's a hidden restaurant. The side dishes are clean and, above all, the meat is soft and delicious.
"
분식,봉평면옥,부산광역시 연제구 거제천로 53-1 (거제동),막국수,051-865-3141,연제구,35.179,129.072,Bongpyeong Myeonok,"South Korea, Seoul, Dongjak District, Seodal-ro 14na-gil, 24-2 1층",,4.3,9.0,,True,,,True,True,True,,False,True,,acceptsCreditCards,"Makguksu, mixed noodles, and pancakes are perfect!!!
It's even more delicious because it's domestically produced, and the buckwheat is amazing!
The neat Makguksu Gamja Ongsimi in the market is chewy and delicious.. Also, the Bibim Makguksu is good!!
Very friendly and the water kimchi served as a side dish was delicious so I refilled it!! I had a great time
It's a bit difficult to find since it's inside the market. The store is neatly organized and the soup is good. I wish it was a little thicker.
The buckwheat noodles did not have the harsh taste of makguksu and had almost no scent. The potato pancake was soft and delicious, and the radish kimchi that came with it was excellent.
A place I often visit in the alley in the market near my house.
The taste is so so
The aroma and taste of buckwheat is faint and the seasoning is too sweet.
The dumplings are satisfying and the buckwheat tea that you can pour yourself is excellent.
"
한식,본가연제점,부산광역시 연제구 고분로 233 (연산동),우삼겹,051-754-8861,연제구,35.185,129.108,,"468 Sinseon-ro, Nam-gu, Busan, South Korea","Monday: 11:00AM–11:00PM
Tuesday: 11:00AM–11:00PM
Wednesday: 11:00AM–11:00PM
Thursday: 11:00AM–11:00PM
Friday: 11:00AM–11:00PM
Saturday: 11:00AM–11:00PM
Sunday: 11:00AM–11:00PM",3.9,318.0,PRICE_LEVEL_MODERATE,True,True,False,True,True,True,False,,True,,acceptsCreditCards,"Good food with good services. The portion is generous.
Delicious authentic korean bbq!
Visit 1 hour before closing!
Since the kitchen is closed, please call if you would like to order meat and meals at once!
The meal was completed in almost 30 minutes. Haha.
Satisfied except that the drink wasn't cold!
It's totally fine. Of course, it is difficult to know whether vegetables are recycled or not, but the vegetables that are laid down always retain moisture. And a moderate amount of meat and a lot of vegetables. I think this concept is really good for having a healthy lunch for only 14,000 won. In addition, there is a golf course above, and a children's playroom inside the store, so it's perfect ^^ And at the entrance of the store, there are various charging facilities and sikhye. We also prepare desserts filled with the sincerity that you make at home. Ugh...100 points total
Spacious parking lot and plenty at affordable prices

Similar at each branch
"
